"FCB","FCB Financial Holdings, Inc.","33.74","FINANCE"
"THG","The Hanover Insurance Group, Inc.","80.82","FINANCE"
"FVE","Five Star Quality Care, Inc.","2.99","HEALTH CARE"
"MX","MagnaChip Semiconductor Corporation","8.69","TECHNOLOGY"
"FSB","Franklin Financial Network, Inc.","22.5","FINANCE"
"JLL","Jones Lang LaSalle Incorporated","146.2","FINANCE"
"LLL","L-3 Communications Holdings, Inc.","105.84","TECHNOLOGY"
"RXN","Rexnord Corporation","18.99","TECHNOLOGY"
"CACI","CACI International, Inc.","76.55","TECHNOLOGY"
"ALEX","Alexander & Baldwin Holdings, Inc.","34.96","FINANCE"
"RHT","Red Hat, Inc.","69.79","TECHNOLOGY"
"OPK","Opko Health Inc","10.03","HEALTH CARE"
"SLH","Solera Holdings, Inc.","53.66","TECHNOLOGY"
"ABT","Abbott Laboratories","43.17","HEALTH CARE"
"CB","Chubb Corporation (The)","120.37","FINANCE"
"ASGN","On Assignment, Inc.","35.69","TECHNOLOGY"
"BRS","Bristow Group Inc","28.48","TRANSPORTATION"
"EXH","Exterran Holdings, Inc.","21.3","TECHNOLOGY"
"PBH","Prestige Brand Holdings, Inc.","45.69","HEALTH CARE"
"ALR","Alere Inc.","52.68","HEALTH CARE"
"SAP","SAP SE","65.8","TECHNOLOGY"
"MDT","Medtronic plc","68.73","HEALTH CARE"
"KEY","KeyCorp","13.6","FINANCE"
"PFG","Principal Financial Group Inc","47.8","FINANCE"
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","7.66","TECHNOLOGY"
"MD","Mednax, Inc","81.41","HEALTH CARE"
"JMPC","JMP Group LLC","25.72","FINANCE"
"BAC","Bank of America Corporation","15.96","FINANCE"
"ASC","Ardmore Shipping Corporation","11.63","TRANSPORTATION"
"SCHW","The Charles Schwab Corporation","30.23","FINANCE"
"MSA","MSA Safety Incorporporated","43.2","HEALTH CARE"
"AMG","Affiliated Managers Group, Inc.","174.64","FINANCE"
"AHS","AMN Healthcare Services Inc","34.98","TECHNOLOGY"
"BSMX","Grupo Financiero Santander Mexico S.A. B. de C.V.","7.5","FINANCE"
"CM","Canadian Imperial Bank of Commerce","70.59","FINANCE"
"WF","Woori Bank","23.81","FINANCE"
"GBL","Gamco Investors, Inc.","55.02","FINANCE"
"SFUN","SouFun Holdings Limited","5.46","TECHNOLOGY"
"WAL","Western Alliance Bancorporation","31.48","FINANCE"
"SHOP","Shopify Inc.","27.21","TECHNOLOGY"
"MNK","Mallinckrodt plc","81.69","HEALTH CARE"
"PBYI","Puma Biotechnology Inc","102.22","HEALTH CARE"
"PB","Prosperity Bancshares, Inc.","50.31","FINANCE"
"HGR","Hanger, Inc.","16.49","HEALTH CARE"
"IMPR","Imprivata, Inc.","19.61","TECHNOLOGY"
"RBS^E","Royal Bank Scotland plc (The)","24.81","FINANCE"
"RLI","RLI Corp.","54.18","FINANCE"
"TRUP","Trupanion, Inc.","8.01","HEALTH CARE"
"UE","Urban Edge Properties","20.6","FINANCE"
"MXL","MaxLinear, Inc","10.28","TECHNOLOGY"
"AVAL","Grupo Aval Acciones y Valores S.A.","7.96","FINANCE"
"XL","XL Group plc","37.02","FINANCE"
"AFA","American Financial Group, Inc.","25.07","FINANCE"
"AGN","Allergan plc.","295.96","HEALTH CARE"
"CUBI","Customers Bancorp, Inc","25.32","FINANCE"
"SMI","Semiconductor  Manufacturing International Corporation","4.42","TECHNOLOGY"
"GEN           ","Genesis Healthcare, Inc.","6.91","HEALTH CARE"
"SQNS","Sequans Communications S.A.","1.16","TECHNOLOGY"
"AEB","Aegon NV","24.1","FINANCE"
"RKUS","Ruckus Wireless, Inc.","11.23","TECHNOLOGY"
"CVB","Lehman ABS Corporation","10.62","FINANCE"
"AB","Allianceberstein Holding L.P.","26.84","FINANCE"
"HNT","Health Net Inc.","65.37","HEALTH CARE"
"GSK","GlaxoSmithKline PLC","39.78","HEALTH CARE"
"PFX","Phoenix Companies, Inc. (The)","18.1","FINANCE"
"GJS","SYNTHETIC FIXED INCOME SECURITIES INC","18.4946","FINANCE"
"SSWN","Seaspan Corporation","25","TRANSPORTATION"
"MHNA","Maiden Holdings, Ltd.","25.9","FINANCE"
"IMPV","Imperva, Inc.","66.58","TECHNOLOGY"
"STV","China Digital TV Holding Co., Ltd.","2.25","TECHNOLOGY"
"MGR","Affiliated Managers Group, Inc.","26.11","FINANCE"
